;Learn VAR Model;Forecast
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;88097;0
50;86698;0
51;86993;16
52;85085;0
53;85051;0
54;86611;0
55;85148;0
56;85529;0
57;84780;0
58;84574;0
59;84408;0
60;84813;0
61;84882;0
62;83937;0
63;84580;0
64;85264;0
65;85277;0
66;85574;0
67;85355;0
68;87237;0
69;86101;0
70;86886;0
71;89946;0
72;94468;1
73;145448;0
74;123261;2
75;112206;2
76;112555;2
77;112036;2
78;111853;2
79;111406;2
80;112019;3
81;111842;3
82;111348;1
83;111159;2
84;111737;7
85;111700;5
86;111816;2
87;111080;2
88;111289;2
89;113911;6
90;111574;2
91;111667;2
92;112313;4
93;112076;2
94;111544;2
95;110588;2
96;112297;2
97;111583;2
98;111098;4
99;110929;2
100;111400;1
