;Number of Cluster
2;4
3;3
4;3
5;4
6;3
7;5
8;5
9;4
10;4
11;4
12;5
13;4
14;4
15;4
16;5
17;5
18;4
19;4
20;4
21;5
22;4
23;4
24;4
25;3
26;3
27;3
28;3
29;3
30;3
31;3
32;4
33;5
34;4
35;5
36;5
37;4
38;5
39;4
40;4
41;4
42;4
43;4
44;5
45;5
46;4
47;3
48;3
49;3
50;4
51;5
52;5
53;5
54;5
55;5
56;6
57;4
58;4
59;4
60;4
61;4
62;4
63;4
64;4
65;4
66;4
67;3
68;2
69;2
70;2
71;3
72;4
73;4
74;4
75;5
76;4
77;5
78;4
79;5
80;4
81;5
82;4
83;4
84;6
85;3
86;3
87;3
88;4
89;5
90;5
91;4
92;4
93;5
94;3
95;2
96;4
97;4
98;5
99;5
100;5
