;Number of Cluster
2;4
3;3
4;3
5;3
6;3
7;4
8;4
9;4
10;5
11;4
12;4
13;4
14;4
15;4
16;4
17;4
18;5
19;4
20;3
21;3
22;4
23;2
24;5
25;5
26;5
27;4
28;3
29;4
30;5
31;2
32;2
33;2
34;3
35;2
36;2
37;3
38;4
39;4
40;4
41;4
42;4
43;3
44;3
45;4
46;5
47;6
48;5
49;6
50;5
51;7
52;6
53;6
54;7
55;6
56;6
57;6
58;6
59;6
60;6
61;4
62;4
63;5
64;4
65;4
66;4
67;4
68;4
69;2
70;3
71;2
72;3
73;4
74;3
75;3
76;4
77;5
78;4
79;3
80;3
81;5
82;4
83;3
84;4
85;2
86;3
87;3
88;3
89;4
90;4
91;4
92;4
93;3
94;3
95;2
96;2
97;2
98;4
99;2
100;4
