;sglo;sdir;sdif;
ID: 3;0,0;0,0;0,0;
ID: 4;0,0;0,0;0,0;
ID: 5;0,0;0,0;0,0;
ID: 6;0,0;0,0;0,0;
ID: 7;0,0;0,0;0,0;
ID: 8;0,0;0,0;0,0;
ID: 9;0,0;0,0;0,0;
ID: 10;0,0;0,0;0,0;
ID: 11;0,0;0,0;0,0;
ID: 12;0,0;0,0;0,0;
ID: 13;0,0;0,0;0,0;
ID: 14;0,0;0,0;0,0;
ID: 15;0,0;0,0;0,0;
ID: 16;0,0;0,0;0,0;
ID: 17;0,0;0,0;0,0;
ID: 18;0,0;0,0;0,0;
ID: 19;0,0;0,0;0,0;
ID: 20;0,0;0,0;0,0;
ID: 21;0,0;0,0;0,0;
ID: 22;0,0;0,0;0,0;
ID: 23;0,0;0,0;0,0;
ID: 24;0,0;0,0;0,0;
ID: 25;0,0;0,0;0,0;
ID: 26;0,0;0,0;0,0;
ID: 27;0,0;0,0;0,0;
ID: 28;0,0;0,0;0,0;
ID: 29;0,0;0,0;0,0;
ID: 30;0,0;0,0;0,0;
ID: 31;0,0;0,0;0,0;
ID: 32;0,0;0,0;0,0;
ID: 33;0,0;0,0;0,0;
ID: 34;0,0;0,0;0,0;
ID: 35;0,0;0,0;0,0;
ID: 36;0,0;0,0;0,0;
ID: 37;0,0;0,0;0,0;
ID: 38;0,0;0,0;0,0;
ID: 39;0,0;0,0;0,0;
ID: 40;0,0;0,0;0,0;
ID: 41;0,0;0,0;0,0;
ID: 42;0,0;0,0;0,0;
ID: 43;0,0;0,0;0,0;
ID: 44;0,0;0,0;0,0;
ID: 45;0,0;0,0;0,0;
ID: 46;0,0;0,0;0,0;
ID: 47;0,0;0,0;0,0;
ID: 48;0,0;0,0;0,0;
ID: 49;117,33387485048965;447,3027017600305;63,924821781419496;
ID: 50;155,2313977589784;454,6100957386586;98,6821402399256;
ID: 51;256,6546898390542;340,4400371534922;172,65332857185496;
ID: 52;409,2511552882953;569,4557465218464;244,35062044992205;
ID: 53;153,4598924967066;291,55760962031985;110,08972272645428;
ID: 54;0,025220529785777282;11,77448021500951;0,012498991016204442;
ID: 55;325,9328534719963;540,5454132176951;184,2256025525613;
ID: 56;94,18489831330895;269,38364911300664;57,06189585544618;
ID: 57;335,1714880393252;529,3790205981481;188,95365980828652;
ID: 58;339,50577067346507;556,7388002638403;190,68613440427043;
ID: 59;320,2704270571437;877,388060713399;164,7146006454309;
ID: 60;289,7337118821152;1460,6261721126095;110,5090517764255;
ID: 61;333,0062702496123;1278,281254612427;146,36535624927046;
ID: 62;249,81979333107182;1056,9044539127592;105,9749423198586;
ID: 63;252,41887760279027;1014,1784583470753;107,57924910390228;
ID: 64;296,3297315197567;1188,8372091703966;114,8026363807705;
ID: 65;200,60816904307794;720,3465322543453;95,54645934367257;
ID: 66;117,67415638717515;485,0580719317779;58,82335290754071;
ID: 67;375,5020160714543;940,1830512389793;174,6941719494233;
ID: 68;381,92284051187085;945,5913252133247;178,4079921858828;
ID: 69;124,89604733632032;545,6334626502836;54,76941026726293;
ID: 70;391,84573601817095;950,6622394009529;183,66101309743436;
ID: 71;0,10967944844636969;82,94508662676452;0,05653430729558862;
ID: 72;252,97328383882004;738,7090475597593;113,98522183169007;
ID: 73;256,53084312948215;726,0757556415325;116,65172131014462;
ID: 74;380,9585688618286;889,1292951269512;179,27309118049098;
ID: 75;133,04686920724615;351,1619321347639;59,39310371030505;
ID: 76;124,91365059510059;296,89235890702287;57,810674547235564;
ID: 77;49,45062197195229;217,60869243551932;26,44465211282536;
ID: 78;323,4368640605876;633,1471530545864;147,5665246583239;
ID: 79;266,79219102824163;548,7089094806518;126,54031009240416;
ID: 80;118,78343743565189;295,7132684536904;59,36565413941677;
ID: 81;171,600589282549;388,8168572999593;82,82734437746065;
ID: 82;0,008981812598890032;6,3345828931581645;0,004627825803423116;
ID: 83;218,39487101832228;1080,2607456208511;96,82092094886194;
ID: 84;170,93363394861467;618,0329995690681;79,18977943825604;
