;temperatura;velocitavento;ozono;radiazionisolari;
3;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;
5;0,0;0,0;0,0;0,0;
6;0,0;0,0;0,0;0,0;
7;0,0;0,0;0,0;0,0;
8;0,0;0,0;0,0;0,0;
9;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;
11;0,0;0,0;0,0;0,0;
12;0,0;0,0;0,0;0,0;
13;0,0;0,0;0,0;0,0;
14;0,0;0,0;0,0;0,0;
15;0,0;0,0;0,0;0,0;
16;0,0;0,0;0,0;0,0;
17;0,0;0,0;0,0;0,0;
18;0,0;0,0;0,0;0,0;
19;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;
21;0,0;0,0;0,0;0,0;
22;0,0;0,0;0,0;0,0;
23;0,0;0,0;0,0;0,0;
24;0,0;0,0;0,0;0,0;
25;0,0;0,0;0,0;0,0;
26;0,0;0,0;0,0;0,0;
27;0,0;0,0;0,0;0,0;
28;0,0;0,0;0,0;0,0;
29;0,0;0,0;0,0;0,0;
30;0,0;0,0;0,0;0,0;
31;0,0;0,0;0,0;0,0;
32;0,0;0,0;0,0;0,0;
33;0,0;0,0;0,0;0,0;
34;0,0;0,0;0,0;0,0;
35;0,0;0,0;0,0;0,0;
36;0,0;0,0;0,0;0,0;
37;0,0;0,0;0,0;0,0;
38;0,0;0,0;0,0;0,0;
39;0,0;0,0;0,0;0,0;
40;0,0;0,0;0,0;0,0;
41;0,0;0,0;0,0;0,0;
42;0,0;0,0;0,0;0,0;
43;0,0;0,0;0,0;0,0;
44;0,0;0,0;0,0;0,0;
45;0,0;0,0;0,0;0,0;
46;0,0;0,0;0,0;0,0;
47;0,0;0,0;0,0;0,0;
48;0,0;0,0;0,0;0,0;
49;0,4838885240241832;0,19425669955960664;0,08188532719426136;0,001042567583935222;
50;0,4231529312058623;0,22071808662538586;0,10691930003529267;0,001142659240138978;
51;0,5512988054998461;0,2039375922131905;0,10031355472361912;0,001018647925718727;
52;0,5148518494773485;0,1968039023400496;0,10375675613651908;0,0010499320755115544;
53;0,4946072214133401;0,20530142876313862;0,08561802856321869;9,009763091852775E-4;
54;0,5492987258425366;0,2405602285343018;0,09488282262991542;0,0010981634630998762;
55;0,4602171252828831;0,18115208109143435;0,09835271167403416;7,924430280827492E-4;
56;0,40514553070767984;0,16238150480820826;0,10783729856476591;6,24305940892731E-4;
57;0,4016264216540901;0,17860223910018472;0,12249404816492261;6,105426843773543E-4;
58;0,4927541363399613;0,16226739889430608;0,168199369430626;6,328875007037496E-4;
59;0,6541260395956351;0,21330718653330652;0,16279274635499183;6,881820092617632E-4;
60;0,5668783366205935;0,08493513106227861;0,1477084631041414;5,46202420438017E-4;
61;0,48153592022566627;0,19753240809364697;0,2578558058209004;5,748676916081361E-4;
62;0,9311068716649721;0,13550613432273498;0,3239294538101219;7,184607111898341E-4;
63;1,3759141798589252;0,20350032870313267;0,30842632399122283;0,001019597724277124;
64;1,1444281226710884;0,13234588208566883;0,3829477489531569;8,702122424158213E-4;
