;tempreatura;velocitavento;ozono;radiazionisolari;
3;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;
5;0,0;0,0;0,0;0,0;
6;0,0;0,0;0,0;0,0;
7;0,0;0,0;0,0;0,0;
8;0,0;0,0;0,0;0,0;
9;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;
11;0,0;0,0;0,0;0,0;
12;0,0;0,0;0,0;0,0;
13;0,0;0,0;0,0;0,0;
14;0,0;0,0;0,0;0,0;
15;0,0;0,0;0,0;0,0;
16;0,0;0,0;0,0;0,0;
17;0,0;0,0;0,0;0,0;
18;0,0;0,0;0,0;0,0;
19;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;
21;0,0;0,0;0,0;0,0;
22;0,0;0,0;0,0;0,0;
23;0,0;0,0;0,0;0,0;
24;0,0;0,0;0,0;0,0;
25;0,3607825218205498;0,03350650660149088;0,12548148385721158;1,3822607104292128E-4;
26;0,4026243532511276;0,04108488677808259;0,1817532452353853;1,3980227415139423E-4;
27;0,3354902601029477;0,029368263099504494;0,16061769508533522;1,5248252955821004E-4;
28;0,0771428788116886;0,03593441527283192;0,009751862237249397;2,0423307789441329E-4;
29;0,04640006876258074;0,027639808354088077;0,010384901378451486;2,0285211027598268E-4;
30;0,046122584881780136;0,019934203254777686;0,018697589572220244;2,2974551440028564E-4;
31;0,08702364907764601;0,019296052830313888;0,06735758920348348;2,213734119938911E-4;
32;0,03461107969671587;0,058560038857468646;0,06528124973269317;2,0313111569046646E-4;
33;0,12011073623268478;0,07473937260230672;0,07419552541197469;2,4594524738827996E-4;
34;0,18723959434545534;0,07380559423679817;0,02542126316848452;1,2594871406277136E-4;
35;0,12733647889041083;0,07230593785036374;0,032613231436151136;5,511585327824107E-5;
36;0,053914545148198184;0,04221625441099973;0,035950588407328746;3,564064268070753E-4;
37;0,10857497429306164;0,05514101955100512;0,09141206568578406;2,944471904569832E-4;
38;0,1678040194208864;0,0684785019319884;0,18954957375969608;5,553714080746916E-4;
39;0,16804422845182276;0,0768937041069782;0,19432274515645637;4,3624724631407587E-4;
40;0,24539732762388872;0,0866248522478654;0,4216791479194518;0,0010227512082266648;
41;0,20037167740626866;0,0799895307621542;0,38615832966749297;9,485351356823507E-4;
42;0,17268109896262876;0,11559641804481202;0,20894196912468407;6,924896292357303E-4;
43;0,19456876338101586;0,09098484126001158;0,1605443595627686;6,354849096015068E-4;
44;0,18457849217549993;0,08594237025744457;0,11445656717531127;4,988457492374784E-4;
45;0,31648131101611476;0,07510813290687769;0,30294669761744625;0,001043522121031042;
46;0,06710024908438755;0,04047617118684963;0,01723796353549327;1,5100521800932853E-4;
47;0,07178594167097413;0,03141606558624493;0,036824899980707176;2,8990550244912985E-4;
48;0,08347660937313292;0,020363843115129315;0,05201991855665756;3,817809567505603E-4;
49;0,11198204947118628;0,01823200111080959;0,061054791902273205;1,7765098711382374E-4;
50;0,1450002809161622;0,03898504184412905;0,056211802961129174;2,1924817115177245E-4;
51;0,15296282573710943;0,04817120952854179;0,04906443572857507;2,7965207118142715E-4;
