;temperatura;velocitavento;ozono;radiazionisolari;
55;18,247180130899004;9,131417711687673;9,38922248475327;1,0124738858391296;
56;1403582,0937655587;408246,1752696653;7278273,860244441;25291,593039428066;
57;51629,813248034654;10998,75736458199;171380,36296617208;1705,4488110569612;
58;3376,5305033033096;473,50770659833665;15237,27972126205;35,44227798976841;
59;393,51432568147663;123,96283820628057;1499,1471065457984;9,296473936250267;
60;326,320414410792;125,9662769994366;1343,2258640982761;7,027654971204552;
61;3,7027053884199925E7;4683259,176259968;1,7614921335236043E8;242208,25201332665;
62;205253,17073780685;229793,02769718962;4632181,905778704;25209,528245829613;
63;15,637607018187133;5,1004034310421345;7,7809992107223875;0,6390760006954029;
64;236048,40590666095;452653,5399476167;3,164671708740543E7;223762,69145994997;
65;2,630127725697985E7;5301381,402806868;4,016430065456727E7;426518,91847697017;
66;2,8718181580783486E7;8736323,045073733;5,256460484279197E7;884290,3572144228;
67;7,940491079798857E8;2,8796574340104747E8;1,8213194747808626E9;2,419911824471598E7;
68;1,0521505556764254E8;1,3013978826045647E7;2,4833165920022875E8;2824907,4468727927;
69;1,4242908638210358E7;3437457,4137045476;4,142454564387057E7;334068,09540297795;
70;1,6950986448565774E7;6258761,684637802;4,136289484018204E7;50592,86602253313;
71;8232980,156734777;2295260,3666918916;1,4602251744487138E7;127600,23887313168;
72;2,9150938560306996E8;1,0092881706826198E8;5,87900179346153E8;3203349,629720018;
73;2,1514082279636273E8;8,093535909927788E7;8,032994224238099E8;305803,1402192473;
74;1,8272021545836613E8;4,08981363427641E7;4,3719760845727473E8;154609,94048173315;
75;6481159,982270667;1946134,3404496724;1,4691474835918505E7;215888,01501629144;
76;1,8946564563711655E8;6,13723956018805E7;5,227235222029477E8;1646349,1733406414;
77;138381,18892781227;30509,588778054553;374935,16811435786;1571,8480918126606;
78;90191,72244477706;26558,713085577736;242586,01752278485;373,422702479667;
79;589475,0181583163;188205,25392661933;3240303,7709840997;5375,642238730709;
80;8797089,41309007;1,3867814059169928E7;7,78429716706467E7;396589,2749108937;
81;219713,14282007428;171569,86425523838;1255394,8249696686;8771,584038085735;
82;2234,5993093460224;1700,2881915020262;9483,41618011742;62,96590137000977;
83;767739,9072171493;3211635,969279717;1,457140982162196E7;93786,20461961652;
84;4722808,610385964;1648784,0171073757;1,6200396164866725E7;36891,691322685074;
85;1,449852908691771E8;4,463579443767982E7;3,592179094850313E8;759879,4087019764;
86;3,420041048850544E7;3,030089397973114E7;1,436590185477801E9;617327,1173471421;
87;1,533386284176796E8;4,883459247164281E7;4,449306606862737E8;1470783,3379637082;
88;34,22411875935858;11,427071961126112;79,36303996690567;1,6863764357889417;
89;9,564840269602573E9;4,2387340000828147E9;2,5119776715981865E10;2,3843525417961514E8;
90;2,6579966453355093E7;1,1203638943498231E7;4,3814871405867115E7;930850,3648115471;
91;2,0002456257875085E8;5,127583928254103E7;3,7345076167531425E8;5124581,461500972;
92;2845185,117536865;1715946,8038566536;2,8268233653523523E7;265783,0787238032;
93;4,182831895212582E9;2,0007829619227974E9;9,740253390380249E9;1,0949799933187334E8;
94;5,197137059485779E7;1,3686576028046273E7;1,0241722742983584E8;1209791,00561679;
95;4,205731850544555E9;1,8782320191821404E9;1,1707465462589529E10;5,495064368179894E7;
96;7644028,393959516;2474194,085535027;1,611515855363149E7;262469,7865573851;
97;6,585854420561947E8;2,0394271762654606E8;1,7961812232049243E9;1283344,8005362612;
98;2,1618556464102232E8;6,989560221453959E7;4,6263076562635696E8;1659218,282800496;
99;409542,2646775382;248711,01280291262;2091598,2548603788;23559,2855415972;
100;1,389237108116545E9;3,317342744595906E8;4,448581616655064E9;5533175,97768815;
101;7,630405159382066E7;2,961573837433561E7;3,4421585522763973E8;25247,441755416974;
