;Learn VAR Model;Forecast
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;359588;0
26;293848;0
27;290253;0
28;291754;0
29;293550;0
30;297099;0
31;297020;0
32;295660;0
33;300254;0
34;296936;0
35;293410;0
36;292425;0
37;291488;16
38;292207;0
39;291301;0
40;292675;0
41;290285;15
42;291129;0
43;289785;0
44;290675;0
45;289973;0
46;291644;0
47;290613;0
48;287785;0
49;290222;0
50;288582;0
51;301519;15
52;289332;0
53;288566;0
54;289597;0
55;288066;0
56;290817;0
57;289831;0
58;289879;16
59;290473;0
60;289472;0
61;290816;15
62;289879;0
63;289551;0
64;289613;16
65;290175;15
66;289019;0
67;288425;0
68;288332;0
69;289488;0
70;289425;16
71;290800;0
72;302832;16
73;289784;16
74;294301;16
75;292332;0
76;292707;16
77;292254;0
78;290410;0
79;292895;0
80;291738;0
81;291863;15
82;290738;0
83;290066;16
84;292191;16
85;293097;0
86;291081;15
87;293035;0
88;291629;15
89;289238;0
90;290207;0
91;289176;0
92;290441;0
93;289613;16
94;290128;0
95;289941;0
96;289301;0
97;303816;0
98;288785;0
99;296176;0
100;291285;0
