;Learn Tree;Learn VAR Model;Forecast;;;
2;47;0;0;47;1;1
3;47;0;0;47;1;1
4;16;0;0;16;1;1
5;0;0;0;1;1;1
6;15;0;0;15;1;1
7;0;0;0;1;1;1
8;0;0;0;1;1;1
9;16;0;0;16;1;1
10;0;0;0;1;1;1
11;0;0;0;1;1;1
12;0;0;0;1;1;1
13;0;0;0;1;1;1
14;15;0;0;15;1;1
15;0;0;0;1;1;1
16;0;0;0;1;1;1
17;0;0;0;1;1;1
18;15;0;0;15;1;1
19;0;0;0;1;1;1
20;0;0;0;1;1;1
21;0;0;0;1;1;1
22;0;0;0;1;1;1
23;15;0;0;15;1;1
24;0;0;0;1;1;1
25;0;0;0;1;1;1
26;0;0;0;1;1;1
27;0;0;0;1;1;1
28;0;0;0;1;1;1
29;0;0;0;1;1;1
30;0;0;0;1;1;1
31;0;0;0;1;1;1
32;16;0;0;16;1;1
33;0;0;0;1;1;1
34;16;0;0;16;1;1
35;16;0;0;16;1;1
36;0;0;0;1;1;1
37;16;0;0;16;1;1
38;16;0;0;16;1;1
39;16;0;0;16;1;1
40;15;0;0;15;1;1
41;0;0;0;1;1;1
42;16;0;0;16;1;1
43;16;0;0;16;1;1
44;16;0;0;16;1;1
45;0;0;0;1;1;1
46;0;0;0;1;1;1
47;15;0;0;15;1;1
48;0;0;0;1;1;1
49;15;31641;31;15;31641;31
50;0;31734;0;1;31734;1
51;0;31501;15;1;31501;15
52;15;35001;0;15;35001;1
53;15;34016;16;15;34016;16
54;15;33157;16;15;33157;16
55;0;37382;15;1;37382;15
56;0;37141;0;1;37141;1
57;0;40216;16;1;40216;16
58;0;37680;16;1;37680;16
59;0;31609;16;1;31609;16
60;0;33720;0;1;33720;1
61;0;39282;15;1;39282;15
62;0;36344;0;1;36344;1
63;0;33922;0;1;33922;1
64;0;34251;0;1;34251;1
65;0;33907;0;1;33907;1
66;0;33656;0;1;33656;1
67;0;35339;0;1;35339;1
68;0;35705;0;1;35705;1
69;0;33410;0;1;33410;1
70;15;33581;0;15;33581;1
71;2;33886;18;2;33886;18
72;0;34546;0;1;34546;1
73;0;34209;0;1;34209;1
74;0;34572;16;1;34572;16
75;0;34292;15;1;34292;15
76;0;40091;16;1;40091;16
77;0;41215;0;1;41215;1
78;0;39435;0;1;39435;1
79;0;39715;0;1;39715;1
80;0;39425;16;1;39425;16
81;0;38881;0;1;38881;1
82;0;41562;11;1;41562;11
83;1;47508;16;1;47508;16
84;0;36336;5;1;36336;5
85;3;39369;15;3;39369;15
86;0;40581;15;1;40581;15
87;0;37360;5;1;37360;5
88;2;35462;0;2;35462;1
89;0;34592;0;1;34592;1
90;2;39259;5;2;39259;5
91;0;39236;16;1;39236;16
92;0;34122;0;1;34122;1
93;0;37113;0;1;37113;1
94;0;39674;0;1;39674;1
95;0;39020;0;1;39020;1
96;0;39438;15;1;39438;15
97;0;39648;0;1;39648;1
98;16;37053;0;16;37053;1
99;0;39294;5;1;39294;5
100;0;41964;5;1;41964;5
;;;;5,353535354;19324,24242;4,282828283
