;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;
ID: 104;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;
ID: 105;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 106;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 108;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 111;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 121;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16;
ID: 122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 132;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 133;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 137;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 139;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 142;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 148;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 149;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16;
ID: 150;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 151;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 152;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;
ID: 153;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 154;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 155;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 157;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 158;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 160;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 162;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 168;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;15;
ID: 169;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;14;
ID: 170;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 173;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 175;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 178;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 179;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 180;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 181;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 182;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 183;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 187;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 189;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 191;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 192;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 193;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 194;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 196;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 198;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 200;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 201;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 207;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 208;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 209;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 210;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 212;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 213;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 215;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 216;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 217;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 219;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 220;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 221;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 223;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 224;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 226;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 227;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 228;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 229;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 236;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 238;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 239;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 241;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 242;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 243;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 244;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 245;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 246;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;
ID: 247;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 248;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 249;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 260;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 264;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 265;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 266;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 267;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 268;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 271;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 272;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 274;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 275;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 279;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 280;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 283;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 284;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 287;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 288;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 289;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 290;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 291;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;
ID: 292;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 293;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16;
ID: 294;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 295;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 296;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 297;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;
ID: 298;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 299;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 300;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 301;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 302;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 304;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 305;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 306;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 307;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 308;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 309;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 310;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 312;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 313;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 314;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;
ID: 315;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16;
ID: 316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 317;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 319;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 320;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
