;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;
90;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23;
91;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23;
92;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;22;
93;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;22;
94;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;21;
95;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
96;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23;
97;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;21;
98;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23;
99;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;24;
100;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23;
