;Learn Tree;Learn VAR Model;Forecast;;;
2;47;0;0;47;1;1
3;31;0;0;31;1;1
4;15;0;0;15;1;1
5;16;0;0;16;1;1
6;0;0;0;1;1;1
7;16;0;0;16;1;1
8;16;0;0;16;1;1
9;0;0;0;1;1;1
10;0;0;0;1;1;1
11;0;0;0;1;1;1
12;0;0;0;1;1;1
13;0;0;0;1;1;1
14;16;0;0;16;1;1
15;0;0;0;1;1;1
16;0;0;0;1;1;1
17;15;0;0;15;1;1
18;0;0;0;1;1;1
19;0;0;0;1;1;1
20;0;0;0;1;1;1
21;16;0;0;16;1;1
22;16;0;0;16;1;1
23;0;0;0;1;1;1
24;0;0;0;1;1;1
25;0;0;0;1;1;1
26;0;0;0;1;1;1
27;15;0;0;15;1;1
28;0;0;0;1;1;1
29;0;0;0;1;1;1
30;16;0;0;16;1;1
31;15;0;0;15;1;1
32;0;0;0;1;1;1
33;16;0;0;16;1;1
34;15;0;0;15;1;1
35;15;0;0;15;1;1
36;15;0;0;15;1;1
37;0;0;0;1;1;1
38;0;0;0;1;1;1
39;16;0;0;16;1;1
40;0;0;0;1;1;1
41;0;0;0;1;1;1
42;15;0;0;15;1;1
43;15;0;0;15;1;1
44;16;0;0;16;1;1
45;0;0;0;1;1;1
46;15;0;0;15;1;1
47;0;0;0;1;1;1
48;0;0;0;1;1;1
49;16;32610;16;16;32610;16
50;0;31423;16;1;31423;16
51;15;33688;16;15;33688;16
52;0;34313;16;1;34313;16
53;0;32844;0;1;32844;1
54;0;33360;0;1;33360;1
55;0;33407;0;1;33407;1
56;0;32969;0;1;32969;1
57;16;33078;16;16;33078;16
58;0;35360;16;1;35360;16
59;0;38235;16;1;38235;16
60;0;40641;16;1;40641;16
61;0;41032;0;1;41032;1
62;0;43923;0;1;43923;1
63;0;40954;15;1;40954;15
64;15;46423;0;15;46423;1
65;0;49688;16;1;49688;16
66;0;48329;0;1;48329;1
67;0;42860;16;1;42860;16
68;16;40157;16;16;40157;16
69;0;37813;0;1;37813;1
70;16;37954;0;16;37954;1
71;0;38235;16;1;38235;16
72;0;38360;16;1;38360;16
73;0;37798;15;1;37798;15
74;0;37922;0;1;37922;1
75;0;32907;15;1;32907;15
76;0;33250;0;1;33250;1
77;16;42156;0;16;42156;1
78;1;37176;0;1;37176;1
79;15;37858;0;15;37858;1
80;16;34564;15;16;34564;15
81;0;35648;0;1;35648;1
82;0;37021;0;1;37021;1
83;0;36944;16;1;36944;16
84;16;42139;0;16;42139;1
85;16;46693;0;16;46693;1
86;16;51214;0;16;51214;1
87;0;42695;16;1;42695;16
88;16;47822;0;16;47822;1
89;0;47366;0;1;47366;1
90;0;46416;0;1;46416;1
91;0;41948;0;1;41948;1
92;0;38666;16;1;38666;16
93;0;39366;16;1;39366;16
94;0;39233;15;1;39233;15
95;0;39670;0;1;39670;1
96;0;39028;15;1;39028;15
97;0;38962;0;1;38962;1
98;0;41598;16;1;41598;16
99;0;44097;5;1;44097;5
100;0;44611;0;1;44611;1
;;;;6,636363636;20732,0303;4,616161616
