;temperatura;velocitavento;ozono;radiazionisolari;
3;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;
5;0,0;0,0;0,0;0,0;
6;0,0;0,0;0,0;0,0;
7;0,0;0,0;0,0;0,0;
8;0,0;0,0;0,0;0,0;
9;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;
11;0,0;0,0;0,0;0,0;
12;0,0;0,0;0,0;0,0;
13;0,0;0,0;0,0;0,0;
14;0,0;0,0;0,0;0,0;
15;0,0;0,0;0,0;0,0;
16;0,0;0,0;0,0;0,0;
17;0,0;0,0;0,0;0,0;
18;0,0;0,0;0,0;0,0;
19;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;
21;0,0;0,0;0,0;0,0;
22;0,0;0,0;0,0;0,0;
23;0,0;0,0;0,0;0,0;
24;0,0;0,0;0,0;0,0;
25;0,0;0,0;0,0;0,0;
26;0,0;0,0;0,0;0,0;
27;0,0;0,0;0,0;0,0;
28;0,0;0,0;0,0;0,0;
29;0,0;0,0;0,0;0,0;
30;0,0;0,0;0,0;0,0;
31;0,0;0,0;0,0;0,0;
32;0,0;0,0;0,0;0,0;
33;0,0;0,0;0,0;0,0;
34;0,0;0,0;0,0;0,0;
35;0,0;0,0;0,0;0,0;
36;0,0;0,0;0,0;0,0;
37;0,0;0,0;0,0;0,0;
38;0,0;0,0;0,0;0,0;
39;0,0;0,0;0,0;0,0;
40;0,0;0,0;0,0;0,0;
41;0,0;0,0;0,0;0,0;
42;0,0;0,0;0,0;0,0;
43;0,0;0,0;0,0;0,0;
44;0,0;0,0;0,0;0,0;
45;0,0;0,0;0,0;0,0;
46;0,0;0,0;0,0;0,0;
47;0,0;0,0;0,0;0,0;
48;0,0;0,0;0,0;0,0;
49;0,3866357731682963;0,14567959114732593;0,04048552735500081;9,890229266075173E-4;
50;0,1931966356382041;0,1084630078293807;0,017033391504461412;4,5527987435363274E-4;
51;0,1883751780998091;0,08788306203233703;0,0326640910933632;7,985228219749034E-4;
52;0,27800951558802184;0,14212717382207254;0,03142546790091955;7,04178098039564E-4;
53;0,34722972751861825;0,13611839753332086;0,031223622719739795;4,281743264453002E-4;
54;0,3660716963337124;0,12035871207630991;0,04083507399913734;5,877627896394938E-4;
55;0,5545507121673953;0,14087920999750678;0,04536688007793571;8,757445456615764E-4;
56;0,675556221167484;0,14900270685017716;0,036238875693650564;3,720996259061779E-4;
57;0,516036789590662;0,11396687889002427;0,03449535109484188;5,624496712043214E-4;
58;0,5253459890806771;0,14110402193731952;0,03657770166419796;4,5015500494272244E-4;
59;0,5276872994477573;0,14253632345317985;0,043951467361500365;6,62589539971171E-4;
60;0,6495177572600129;0,13988901575016613;0,047692864797450225;5,801588135680782E-4;
61;0,3618464007832074;0,08164968852813632;0,04117384683216628;3,7077052385862914E-4;
62;0,506878724728338;0,10566375866460921;0,055099700522292204;4,504059703031257E-4;
63;0,6500361589547511;0,15578524553056872;0,04955103832922764;2,5049573621507213E-4;
64;0,6223203323369777;0,15256008233250565;0,04420011591032311;9,490894277663469E-4;
