x1Pred;x1;x2Pred;x2;x3Pred;x3;x4Pred;x4;x5Pred;x5;x6Pred;x6;x7Pred;x7;x8Pred;x8;x9Pred;x9
NaN;3,82772;NaN;2,34114;NaN;0,88187;NaN;72,3206;NaN;16,887;NaN;-32,4864;NaN;0,0;NaN;1,3743;NaN;119,749
NaN;3,50958;NaN;1,20999;NaN;null;NaN;75,7719;NaN;17,6461;NaN;-34,4994;NaN;0,0;NaN;null;NaN;101,877
NaN;3,43821;NaN;3,18052;NaN;1,09329;NaN;71,9519;NaN;17,2136;NaN;-29,2387;NaN;0,0;NaN;null;NaN;123,5
NaN;3,25529;NaN;1,73027;NaN;null;NaN;72,3403;NaN;null;NaN;null;NaN;null;NaN;null;NaN;null
NaN;3,94463;NaN;3,13177;NaN;1,34849;NaN;69,6496;NaN;null;NaN;null;NaN;null;NaN;1,62891;NaN;259,948
NaN;3,9465;NaN;2,927;NaN;1,12373;NaN;71,3402;NaN;null;NaN;null;NaN;null;NaN;1,62918;NaN;86,2157
NaN;3,69553;NaN;2,04183;NaN;0,976709;NaN;70,4655;NaN;null;NaN;null;NaN;null;NaN;1,3544;NaN;72,4059
NaN;3,60691;NaN;2,39041;NaN;1,74638;NaN;71,6394;NaN;null;NaN;null;NaN;null;NaN;1,44878;NaN;201,658
NaN;3,75218;NaN;3,86966;NaN;1,35275;NaN;71,8732;NaN;20,1187;NaN;null;NaN;null;NaN;null;NaN;45,003
NaN;3,96336;NaN;3,34977;NaN;1,24911;NaN;72,7767;NaN;17,948;NaN;-40,3406;NaN;null;NaN;1,2404;NaN;335,434
NaN;4,09156;NaN;4,25754;NaN;null;NaN;71,0956;NaN;20,3461;NaN;-17,7838;NaN;null;NaN;null;NaN;null
NaN;3,69549;NaN;1,49673;NaN;null;NaN;75,0585;NaN;15,4733;NaN;-42,8351;NaN;null;NaN;1,408;NaN;133,729
NaN;3,60054;NaN;1,75052;NaN;1,04182;NaN;72,846;NaN;null;NaN;null;NaN;null;NaN;null;NaN;192,943
NaN;3,48755;NaN;1,86861;NaN;null;NaN;68,7051;NaN;null;NaN;null;NaN;null;NaN;null;NaN;null
NaN;3,34813;NaN;3,31973;NaN;null;NaN;73,0182;NaN;null;NaN;null;NaN;null;NaN;null;NaN;null
NaN;3,31415;NaN;4,8162;NaN;null;NaN;71,4022;NaN;null;NaN;null;NaN;null;NaN;null;NaN;null
NaN;3,75188;NaN;2,80775;NaN;null;NaN;69,3598;NaN;null;NaN;null;NaN;null;NaN;null;NaN;null
NaN;4,21405;NaN;2,9009;NaN;null;NaN;67,8172;NaN;22,2866;NaN;-34,4464;NaN;null;NaN;null;NaN;null
NaN;4,86615;NaN;8,82811;NaN;null;NaN;68,5373;NaN;null;NaN;null;NaN;0,0;NaN;null;NaN;null
NaN;4,05984;NaN;3,55682;NaN;null;NaN;71,1595;NaN;null;NaN;null;NaN;null;NaN;null;NaN;null
NaN;3,58569;NaN;6,62977;NaN;null;NaN;74,2423;NaN;null;NaN;null;NaN;null;NaN;null;NaN;null
NaN;3,485;NaN;2,53774;NaN;null;NaN;71,8312;NaN;18,0505;NaN;-54,6133;NaN;null;NaN;null;NaN;null
NaN;3,13163;NaN;3,75407;NaN;null;NaN;72,982;NaN;16,8775;NaN;-30,2012;NaN;null;NaN;null;NaN;null
NaN;3,3032;NaN;2,45375;NaN;null;NaN;75,6924;NaN;17,8445;NaN;-36,7154;NaN;null;NaN;null;NaN;null
