;Learn Tree;Learn VAR Model;Forecast;;;
2;69;0;0;69;1;1
3;56;0;0;56;1;1
4;66;0;0;66;1;1
5;70;0;0;70;1;1
6;32;0;0;32;1;1
7;32;0;0;32;1;1
8;16;0;0;16;1;1
9;16;0;0;16;1;1
10;16;0;0;16;1;1
11;31;0;0;31;1;1
12;32;0;0;32;1;1
13;28;0;0;28;1;1
14;43;0;0;43;1;1
15;28;0;0;28;1;1
16;17;0;0;17;1;1
17;29;0;0;29;1;1
18;31;0;0;31;1;1
19;32;0;0;32;1;1
20;32;0;0;32;1;1
21;39;0;0;39;1;1
22;33;0;1;33;1;1
23;22;0;0;22;1;1
24;33;0;0;33;1;1
25;48;0;0;48;1;1
26;48;0;0;48;1;1
27;49;0;0;49;1;1
28;45;0;0;45;1;1
29;41;0;0;41;1;1
30;44;0;0;44;1;1
31;25;0;0;25;1;1
32;34;0;0;34;1;1
33;47;0;0;47;1;1
34;41;0;0;41;1;1
35;44;0;0;44;1;1
36;50;0;0;50;1;1
37;47;0;0;47;1;1
38;43;0;0;43;1;1
39;49;0;0;49;1;1
40;47;0;0;47;1;1
41;60;0;0;60;1;1
42;51;0;0;51;1;1
43;45;0;0;45;1;1
44;61;0;0;61;1;1
45;52;0;0;52;1;1
46;66;0;0;66;1;1
47;57;0;0;57;1;1
48;58;0;0;58;1;1
49;68;31298;20;68;31298;20
50;94;30925;0;94;30925;1
51;78;29811;16;78;29811;16
52;49;38953;16;49;38953;16
53;15;41553;15;15;41553;15
54;16;31229;16;16;31229;16
55;27;31156;0;27;31156;1
56;46;32063;2;46;32063;2
57;47;29494;0;47;29494;1
58;24;29213;0;24;29213;1
59;24;28609;16;24;28609;16
60;38;31414;15;38;31414;15
61;32;28977;0;32;28977;1
62;15;31681;0;15;31681;1
63;32;28806;0;32;28806;1
64;27;28480;0;27;28480;1
65;31;28720;0;31;28720;1
66;16;26338;5;16;26338;5
67;15;23682;16;15;23682;16
68;21;29261;15;21;29261;15
69;16;31252;16;16;31252;16
70;31;29221;5;31;29221;5
71;31;29101;0;31;29101;1
72;31;28791;20;31;28791;20
73;31;29220;0;31;29220;1
74;16;29190;15;16;29190;15
75;31;33789;15;31;33789;15
76;16;36810;4;16;36810;4
77;31;34395;0;31;34395;1
78;25;29218;0;25;29218;1
79;32;33198;0;32;33198;1
80;41;31284;0;41;31284;1
81;56;31621;0;56;31621;1
82;31;29077;0;31;29077;1
83;31;31572;0;31;31572;1
84;15;29215;0;15;29215;1
85;47;35260;0;47;35260;1
86;31;31822;16;31;31822;16
87;31;29546;0;31;29546;1
88;20;25555;0;20;25555;1
89;15;32365;16;15;32365;16
90;15;29102;16;15;29102;16
91;16;32702;5;16;32702;5
92;29;35770;11;29;35770;11
93;48;31867;0;48;31867;1
94;31;28708;0;31;28708;1
95;15;28080;16;15;28080;16
96;32;30971;0;32;30971;1
97;31;32066;0;31;32066;1
98;31;32330;0;31;32330;1
99;16;33513;16;16;33513;16
100;31;29190;0;31;29190;1
;;;;36,1010101;16237,48485;4,02020202
