;Learn Tree;Learn VAR Model;Forecast;;;
2;78;0;0;78;1;1
3;62;0;0;62;1;1
4;23;0;0;23;1;1
5;13;0;0;13;1;1
6;11;0;0;11;1;1
7;10;0;0;10;1;1
8;7;0;0;7;1;1
9;0;0;0;1;1;1
10;15;0;0;15;1;1
11;0;0;0;1;1;1
12;0;0;0;1;1;1
13;0;0;0;1;1;1
14;0;0;0;1;1;1
15;0;0;0;1;1;1
16;16;0;0;16;1;1
17;0;0;0;1;1;1
18;15;0;0;15;1;1
19;0;0;0;1;1;1
20;0;0;0;1;1;1
21;32;0;0;32;1;1
22;15;0;0;15;1;1
23;0;0;0;1;1;1
24;15;0;0;15;1;1
25;4;1;0;4;1;1
26;7;0;0;7;1;1
27;9;0;0;9;1;1
28;8;0;0;8;1;1
29;9;0;0;9;1;1
30;6;0;0;6;1;1
31;7;0;0;7;1;1
32;6;0;0;6;1;1
33;4;0;1;4;1;1
34;5;0;0;5;1;1
35;6;0;0;6;1;1
36;2;0;0;2;1;1
37;3;0;0;3;1;1
38;7;0;0;7;1;1
39;5;0;0;5;1;1
40;3;0;0;3;1;1
41;6;0;0;6;1;1
42;5;0;0;5;1;1
43;3;0;1;3;1;1
44;4;0;0;4;1;1
45;4;0;0;4;1;1
46;9;0;0;9;1;1
47;5;0;0;5;1;1
48;4;0;0;4;1;1
49;6;39042;31;6;39042;31
50;15;35363;0;15;35363;1
51;6;35891;15;6;35891;15
52;0;37522;6;1;37522;6
53;1;36367;0;1;36367;1
54;15;37008;0;15;37008;1
55;16;40175;0;16;40175;1
56;0;39550;16;1;39550;16
57;0;39644;0;1;39644;1
58;0;38744;0;1;38744;1
59;0;39376;0;1;39376;1
60;0;39484;0;1;39484;1
61;0;39045;2;1;39045;2
62;0;37645;16;1;37645;16
63;0;39613;15;1;39613;15
64;16;31972;16;16;31972;16
65;0;34159;0;1;34159;1
66;0;34290;5;1;34290;5
67;0;34406;0;1;34406;1
68;0;35504;0;1;35504;1
69;0;36909;16;1;36909;16
70;0;34627;0;1;34627;1
71;0;36863;0;1;36863;1
72;2;36837;0;2;36837;1
73;0;36323;0;1;36323;1
74;0;33906;0;1;33906;1
75;0;35315;0;1;35315;1
76;0;34815;16;1;34815;16
77;0;35452;0;1;35452;1
78;0;36865;0;1;36865;1
79;0;36825;0;1;36825;1
80;0;36867;16;1;36867;16
81;0;36477;16;1;36477;16
82;0;39046;16;1;39046;16
83;0;40127;16;1;40127;16
84;0;36316;0;1;36316;1
85;16;36499;0;16;36499;1
86;0;36839;16;1;36839;16
87;0;39206;0;1;39206;1
88;15;31530;0;15;31530;1
89;0;30035;0;1;30035;1
90;0;28580;0;1;28580;1
91;0;28460;0;1;28460;1
92;0;28612;16;1;28612;16
93;15;31000;0;15;31000;1
94;0;32636;0;1;32636;1
95;15;33593;0;15;33593;1
96;0;33846;0;1;33846;1
97;0;33909;0;1;33909;1
98;0;31526;0;1;31526;1
99;0;29147;0;1;29147;1
100;0;28697;0;1;28697;1
;;;;6,373737374;18611,43434;3,353535354
