7,366666666666667
6,766666666666666
6,8500000000000005
7,25
6,433333333333333
7,500000000000001
9,4
9,783333333333333
11,583333333333334
12,383333333333333
12,700000000000001
13,716666666666667
13,666666666666666
13,483333333333334
13,033333333333331
12,883333333333335
12,866666666666667
11,799999999999999
10,25
10,2
8,0
8,233333333333334
9,083333333333334
9,549999999999999
9,516666666666667
9,866666666666667
9,116666666666667
7,766666666666667
10,199999999999998
11,266666666666667
11,616666666666665
12,0
11,683333333333335
11,258333333333335
9,65
9,066666666666668
10,083333333333334
8,666666666666666
8,566666666666666
8,799999999999999
8,666666666666666
7,966666666666666
6,483333333333333
5,7
5,966666666666666
6,283333333333334
6,383333333333333
6,8500000000000005
