72,9857142857143
72,83571428571429
72,60714285714286
72,88571428571429
73,08571428571427
73,89999999999999
75,7
77,73357142857142
79,71142857142857
81,76928571428572
83,03571428571429
84,07857142857142
84,41428571428571
84,63571428571431
84,44285714285715
83,68571428571428
82,27142857142857
80,28571428571429
78,72142857142856
77,98571428571427
77,45714285714287
77,02857142857142
76,57142857142857
76,17857142857143
76,00714285714287
75,78571428571429
75,71428571428571
75,8
75,87142857142858
76,46285714285716
77,57571428571428
79,05285714285712
80,64357142857143
82,3492857142857
83,84785714285714
84,60357142857143
85,0235714285714
85,44357142857143
85,31357142857144
84,92571428571429
83,63142857142857
83,14769230769231
82,38181818181819
81,925
80,8
80,08
82,5
81,0
