;Learn VAR Model;Forecast
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;56907;0
26;132705;0
27;146408;0
28;144330;0
29;144002;0
30;145267;16
31;144908;0
32;147329;0
33;150283;16
34;145440;0
35;145424;0
36;164174;16
37;145986;15
38;145767;0
39;146033;0
40;145627;0
41;146127;0
42;146393;0
43;147455;0
44;143861;0
45;145455;0
46;147798;16
47;147470;0
48;145736;0
49;144173;0
50;145877;16
51;151705;0
52;157377;15
53;152455;16
54;147095;0
55;146111;0
56;148768;0
57;146611;0
58;147720;0
59;143627;0
60;144939;0
61;144736;0
62;144392;0
63;143377;0
64;143798;15
65;145018;16
66;144502;16
67;145314;0
68;149767;0
69;142268;0
70;146392;16
71;145564;0
72;145736;0
73;142924;0
74;145876;15
75;142049;0
76;144518;0
77;143049;0
78;143487;0
79;142564;0
80;143205;0
81;148221;0
82;152330;15
83;158158;0
84;158564;16
85;178283;0
86;147017;0
87;145877;0
88;158417;0
89;147002;0
90;149408;0
91;145736;0
92;147095;0
93;145611;0
94;143815;0
95;145924;0
96;145627;16
97;148064;0
98;147017;0
99;147157;0
100;154174;0
