;sglo;sdir;sdif;
3;0,0;0,0;0,0;
4;0,0;0,0;0,0;
5;0,0;0,0;0,0;
6;0,0;0,0;0,0;
7;0,0;0,0;0,0;
8;0,0;0,0;0,0;
9;0,0;0,0;0,0;
10;0,0;0,0;0,0;
11;0,0;0,0;0,0;
12;0,0;0,0;0,0;
13;0,0;0,0;0,0;
14;0,0;0,0;0,0;
15;0,0;0,0;0,0;
16;0,0;0,0;0,0;
17;0,0;0,0;0,0;
18;0,0;0,0;0,0;
19;0,0;0,0;0,0;
20;0,0;0,0;0,0;
21;0,0;0,0;0,0;
22;0,0;0,0;0,0;
23;0,0;0,0;0,0;
24;0,0;0,0;0,0;
25;0,0;0,0;0,0;
26;0,0;0,0;0,0;
27;0,0;0,0;0,0;
28;0,0;0,0;0,0;
29;0,0;0,0;0,0;
30;0,0;0,0;0,0;
31;0,0;0,0;0,0;
32;0,0;0,0;0,0;
33;0,0;0,0;0,0;
34;0,0;0,0;0,0;
35;0,0;0,0;0,0;
36;0,0;0,0;0,0;
37;0,0;0,0;0,0;
38;0,0;0,0;0,0;
39;0,0;0,0;0,0;
40;0,0;0,0;0,0;
41;0,0;0,0;0,0;
42;0,0;0,0;0,0;
43;0,0;0,0;0,0;
44;0,0;0,0;0,0;
45;0,0;0,0;0,0;
46;0,0;0,0;0,0;
47;0,0;0,0;0,0;
48;0,0;0,0;0,0;
49;0,002001453494852577;0,9344004680511032;9,918962955697142E-4;
50;7,947327940949388E-18;1,1371966482078586E-14;5,874904515665473E-18;
51;1,0687434794006177E-16;8,136611292586994E-15;5,381294225741238E-17;
52;0,0020014534948525784;0,9344004680511032;9,918962955697145E-4;
53;0,002001453494964467;0,9344004680904477;9,918962958428942E-4;
54;0,0020014534948526123;0,9344004680513068;9,918962955697205E-4;
55;0,0020014534950875706;0,9344004682210283;9,91896295627503E-4;
56;0,002957703497189712;1,3808362468704432;0,0014658023030759784;
57;168,28977825061358;251,0106330328135;95,8524995017824;
58;1,201338254502231E-7;1,4771595740481317E-7;6,961470436093326E-8;
59;4,235612799799474E-9;3,7788878218585653E-7;3,519127632693043E-9;
60;3,337779892419743E-8;2,598090174862267E-6;3,408182622736901E-9;
61;3,9877790399585474E-9;7,212696598839717E-8;4,1217184968754726E-10;
62;5,087536001067039E-9;1,2593344914821727E-7;8,299772366942612E-10;
63;4,157920974830055E-9;5,087197842851288E-8;3,972344280565637E-10;
64;9,328441427987882E-12;9,334195323776968E-10;2,8075956710173453E-12;
65;8,725273762135236E-14;1,7247111613638194E-11;4,829419987526165E-14;
66;1,1095361310862535E-13;2,0563971746068105E-11;5,619887968679808E-14;
67;1,3586089402084959E-14;2,397791331266303E-14;1,2958532387802853E-16;
68;6,184137149313984E-19;6,164369897346387E-15;3,602938559276166E-18;
69;7,668989659252598E-17;3,8229387453672305E-14;3,8353022309848075E-18;
70;0,0018837471632328223;1,4245837921948226;9,709781564592588E-4;
71;0,0018837471632329652;1,4245837921948428;9,709781564592871E-4;
72;4,8362497121931594E-17;3,1977548704616145E-14;1,6533989607460986E-17;
73;0,0018837471632328772;1,4245837921948274;9,709781564592669E-4;
74;0,0018837471632328236;1,4245837921948246;9,709781564592603E-4;
75;2,5917624992487375E-14;2,585959464904025E-12;1,0765139993230261E-14;
76;5,506336042312801E-13;1,709251825988697E-10;2,42115127954237E-14;
77;2,6770734060547497E-11;1,039632076140789E-8;1,3228991460165236E-12;
78;2,8014611395940355E-8;1,3570765052525868E-6;1,1292921957570337E-8;
79;9,046647485260773E-7;0,0017175851129356168;1,395036552832244E-5;
80;0,050829343361623286;38,49016640089845;0,02629462885656552;
81;79,29928732755725;162,16217195672348;37,9589690829535;
