;Learn Tree;Learn VAR Model;Forecast;;;
2;16;0;0;16;1;1
3;0;0;0;1;1;1
4;0;0;0;1;1;1
5;16;0;0;16;1;1
6;16;0;0;16;1;1
7;0;0;0;1;1;1
8;0;0;0;1;1;1
9;0;0;0;1;1;1
10;0;0;0;1;1;1
11;0;0;0;1;1;1
12;16;0;0;16;1;1
13;0;0;0;1;1;1
14;15;0;0;15;1;1
15;16;0;0;16;1;1
16;0;0;0;1;1;1
17;0;0;0;1;1;1
18;15;0;0;15;1;1
19;0;0;0;1;1;1
20;15;0;0;15;1;1
21;0;0;0;1;1;1
22;15;0;0;15;1;1
23;0;0;0;1;1;1
24;0;0;0;1;1;1
25;0;0;0;1;1;1
26;0;0;0;1;1;1
27;16;0;0;16;1;1
28;16;0;0;16;1;1
29;16;0;0;16;1;1
30;0;0;0;1;1;1
31;0;0;0;1;1;1
32;0;0;0;1;1;1
33;15;0;0;15;1;1
34;16;0;0;16;1;1
35;0;0;0;1;1;1
36;16;0;0;16;1;1
37;15;0;0;15;1;1
38;0;0;0;1;1;1
39;0;0;0;1;1;1
40;0;0;0;1;1;1
41;0;0;0;1;1;1
42;0;0;0;1;1;1
43;0;0;0;1;1;1
44;15;0;0;15;1;1
45;0;0;0;1;1;1
46;16;0;0;16;1;1
47;0;0;0;1;1;1
48;0;0;0;1;1;1
49;15;12532;0;15;12532;1
50;15;17266;0;15;17266;1
51;15;14422;0;15;14422;1
52;0;14375;0;1;14375;1
53;0;14469;0;1;14469;1
54;15;17813;16;15;17813;16
55;0;14157;0;1;14157;1
56;0;14969;0;1;14969;1
57;0;17547;0;1;17547;1
58;0;16985;0;1;16985;1
59;0;14625;16;1;14625;16
60;0;17094;0;1;17094;1
61;0;9329;0;1;9329;1
62;0;14219;0;1;14219;1
63;0;14454;0;1;14454;1
64;0;14141;0;1;14141;1
65;0;11485;0;1;11485;1
66;0;11438;0;1;11438;1
67;0;11453;0;1;11453;1
68;0;6172;0;1;6172;1
69;0;5719;0;1;5719;1
70;0;8672;0;1;8672;1
71;0;5625;0;1;5625;1
72;0;8688;0;1;8688;1
73;0;11250;0;1;11250;1
74;0;8954;0;1;8954;1
75;0;11328;0;1;11328;1
76;16;14172;0;16;14172;1
77;16;11766;0;16;11766;1
78;0;11563;0;1;11563;1
79;0;14094;0;1;14094;1
80;0;8688;0;1;8688;1
81;15;14469;0;15;14469;1
82;0;8609;0;1;8609;1
83;0;8844;0;1;8844;1
84;0;11172;16;1;11172;16
85;15;5751;0;15;5751;1
86;15;11360;0;15;11360;1
87;0;8469;0;1;8469;1
88;0;8422;0;1;8422;1
89;0;11391;0;1;11391;1
90;0;11266;0;1;11266;1
91;0;11391;0;1;11391;1
92;0;11203;0;1;11203;1
93;0;8501;0;1;8501;1
94;0;5844;0;1;5844;1
95;0;5531;0;1;5531;1
96;0;8578;15;1;8578;15
97;0;8579;0;1;8579;1
98;0;5672;0;1;5672;1
99;0;14172;0;1;14172;1
100;0;11297;0;1;11297;1
;;;;4,949494949;5959,919192;1,595959596
