;Learn Tree;Learn VAR Model;Forecast
2;16;0;0
3;15;0;0
4;0;0;0
5;16;0;0
6;16;0;0
7;0;0;0
8;16;0;0
9;187;0;0
10;125;0;0
11;94;0;0
12;46;0;0
13;47;0;0
14;31;0;0
15;31;0;0
16;31;0;0
17;16;0;0
18;31;0;0
19;16;0;0
20;0;0;0
21;0;0;0
22;0;0;0
23;0;0;0
24;0;0;0
25;0;1500;63
26;0;1407;32
27;0;1125;31
28;0;1093;16
29;0;1125;16
30;0;1312;16
31;0;1094;31
32;0;1938;15
33;78;4891;47
34;47;17289;31
35;16;23255;16
36;15;27358;32
37;16;32853;15
38;16;39153;15
39;16;34425;31
40;15;33601;15
41;0;28822;31
42;62;23183;31
43;46;1641;31
44;0;1828;16
45;0;2672;31
46;0;1640;16
47;0;1562;32
48;0;1312;16
49;0;1234;0
50;0;3187;16
51;0;1360;15
52;0;1422;15
53;0;1406;16
54;0;1266;16
55;0;2883;15
56;0;1484;32
57;78;5594;31
58;15;19633;31
59;16;25358;15
60;16;25825;46
61;16;35828;31
62;15;34792;15
63;0;35661;15
64;15;36399;15
65;16;25711;32
66;31;19305;31
67;15;1297;16
68;0;1359;16
69;0;1437;16
70;0;1266;0
71;0;1234;15
72;0;1250;15
73;0;1172;15
74;0;1324;15
75;0;1094;16
76;0;1078;16
77;0;1094;15
78;0;1078;16
79;0;1094;15
80;0;1157;15
81;31;3641;16
82;16;15380;15
83;16;17138;15
84;16;24249;31
85;0;27482;15
86;16;21640;16
87;15;27710;31
88;0;30665;16
89;16;27748;15
90;0;2500;16
91;16;1328;16
92;0;1312;16
93;0;1297;16
94;0;1500;16
95;0;1657;31
96;0;1250;16
97;0;1250;0
98;0;1172;16
99;0;1062;16
100;0;1078;16
