;Learn Tree;Learn VAR Model;Forecast;;;
2;16;0;0;16;1;1
3;0;0;0;1;1;1
4;0;0;0;1;1;1
5;0;0;0;1;1;1
6;0;0;0;1;1;1
7;15;0;0;15;1;1
8;0;0;0;1;1;1
9;0;0;0;1;1;1
10;16;0;0;16;1;1
11;16;0;0;16;1;1
12;0;0;0;1;1;1
13;16;0;0;16;1;1
14;16;0;0;16;1;1
15;0;0;0;1;1;1
16;0;0;0;1;1;1
17;0;0;0;1;1;1
18;0;0;0;1;1;1
19;0;0;0;1;1;1
20;0;0;0;1;1;1
21;16;0;0;16;1;1
22;15;0;0;15;1;1
23;0;0;0;1;1;1
24;16;0;0;16;1;1
25;0;0;0;1;1;1
26;0;0;0;1;1;1
27;0;0;0;1;1;1
28;0;0;0;1;1;1
29;0;0;0;1;1;1
30;0;0;0;1;1;1
31;0;0;0;1;1;1
32;0;0;0;1;1;1
33;0;0;0;1;1;1
34;0;0;0;1;1;1
35;0;0;0;1;1;1
36;0;0;0;1;1;1
37;0;0;0;1;1;1
38;0;0;0;1;1;1
39;0;0;0;1;1;1
40;0;0;0;1;1;1
41;0;0;0;1;1;1
42;0;0;0;1;1;1
43;0;0;0;1;1;1
44;0;0;0;1;1;1
45;0;0;0;1;1;1
46;16;0;0;16;1;1
47;0;0;0;1;1;1
48;0;0;0;1;1;1
49;0;18079;0;1;18079;1
50;15;17750;0;15;17750;1
51;0;17188;0;1;17188;1
52;0;17438;0;1;17438;1
53;0;17594;0;1;17594;1
54;0;16938;0;1;16938;1
55;0;17157;0;1;17157;1
56;0;17360;0;1;17360;1
57;0;14094;0;1;14094;1
58;0;17203;0;1;17203;1
59;15;11782;0;15;11782;1
60;0;11640;0;1;11640;1
61;0;11297;0;1;11297;1
62;0;11484;0;1;11484;1
63;0;14453;0;1;14453;1
64;16;14031;0;16;14031;1
65;0;14485;0;1;14485;1
66;0;14266;0;1;14266;1
67;0;14516;0;1;14516;1
68;0;5672;0;1;5672;1
69;0;8734;0;1;8734;1
70;0;8703;0;1;8703;1
71;0;8688;0;1;8688;1
72;0;14250;0;1;14250;1
73;0;11422;0;1;11422;1
74;0;8907;0;1;8907;1
75;0;14156;0;1;14156;1
76;0;14906;0;1;14906;1
77;0;14187;0;1;14187;1
78;0;14578;0;1;14578;1
79;0;14782;16;1;14782;16
80;0;8687;0;1;8687;1
81;0;11360;0;1;11360;1
82;16;11203;0;16;11203;1
83;0;11344;0;1;11344;1
84;0;11266;0;1;11266;1
85;0;8829;0;1;8829;1
86;16;11125;0;16;11125;1
87;0;11204;0;1;11204;1
88;0;11578;0;1;11578;1
89;0;11313;0;1;11313;1
90;0;14172;0;1;14172;1
91;15;8751;0;15;8751;1
92;0;12141;0;1;12141;1
93;0;11282;16;1;11282;16
94;15;14501;0;15;14501;1
95;16;8250;0;16;8250;1
96;0;11516;0;1;11516;1
97;0;11453;0;1;11453;1
98;0;14172;0;1;14172;1
99;0;15079;0;1;15079;1
100;0;14469;0;1;14469;1
;;;;3,666666667;6782,646465;1,303030303
